Age,Marketing channels,Count of Marketing_channels
19-30,Online ads,2666
19-30,TV commercials,1290
31-45,TV commercials,737
15-18,Online ads,707
19-30,Other,608
19-30,Outdoor billboards,585
15-18,TV commercials,495
31-45,Online ads,490
31-45,Outdoor billboards,431
31-45,Other,408
19-30,Print media,371
31-45,Print media,310
15-18,Outdoor billboards,117
46-65,TV commercials,117
46-65,Online ads,109
15-18,Other,94
46-65,Other,78
15-18,Print media,75
46-65,Outdoor billboards,65
46-65,Print media,57
65+,TV commercials,49
65+,Online ads,48
65+,Other,37
65+,Outdoor billboards,28
65+,Print media,28
