Age,Marketing channels,Count of Marketing_channels
19-30,Online ads,1187
19-30,TV commercials,615
31-45,TV commercials,354
15-18,Online ads,326
19-30,Outdoor billboards,254
19-30,Other,245
31-45,Online ads,229
15-18,TV commercials,216
31-45,Outdoor billboards,175
31-45,Other,168
19-30,Print media,165
31-45,Print media,132
15-18,Outdoor billboards,54
46-65,TV commercials,49
46-65,Online ads,42
15-18,Other,35
15-18,Print media,31
46-65,Other,28
46-65,Outdoor billboards,27
46-65,Print media,26
65+,TV commercials,23
65+,Online ads,21
65+,Print media,17
65+,Other,14
65+,Outdoor billboards,14
